compare,basehomo,similarity,baseline
衣,息,0.9990852,1
衣,昨,0.9985061,1
衣,档,0.9983416,1
衣,于,0.9993429,1
衣,青,0.99936014,1
衣,清,0.99892765,1
衣,空,0.99932086,1
衣,奏,0.9994716,1
衣,路,0.9991559,1
衣,眼,0.99931914,1
衣,前,0.99915934,1
衣,相,0.9991819,1
衣,西,0.9992281,1
衣,女,0.9990133,1
衣,难,0.9988869,1
衣,苏,0.9984737,1
衣,许,0.9984705,1
衣,飞,0.99814427,1
衣,嘛,0.99867517,1
衣,衣,0.9994032,1
衣,位,0.99949294,1
衣,姐,0.99900466,1
衣,越,0.99948806,1
一,衣,0.9994032,0
一,一,0.9994032,1
衣,一,0.9994032,0
哥,客,0.99320304,1
哥,普,0.9978654,1
哥,健,0.9979056,1
哥,识,0.9980943,1
哥,活,0.99871594,1
哥,片,0.9984654,1
哥,黄,0.9937433,1
哥,每,0.9945857,1
哥,爸,0.9965569,1
哥,琴,0.999281,1
哥,离,0.9991818,1
哥,句,0.99779546,1
哥,百,0.9968001,1
哥,城,0.99884313,1
哥,底,0.99751335,1
哥,便,0.9973915,1
哥,结,0.99845016,1
哥,哥,0.9986582,1
哥,福,0.99793583,1
哥,被,0.9985335,1
哥,站,0.99907315,1
哥,表,0.9977491,1
哥,原,0.9961348,1
哥,址,0.9987786,1
哥,络,0.99851936,1
哥,沙,0.99830204,1
哥,课,0.99564385,1
哥,交,0.99879473,1
歌,哥,0.9986582,0
歌,歌,0.9986582,1
哥,歌,0.9986582,0
部,华,0.9989446,1
部,边,0.9992463,1
部,遇,0.9989487,1
部,然,0.9992232,1
部,部,0.99920845,1
部,单,0.99942,1
部,且,0.99900484,1
部,期,0.999502,1
部,成,0.998939,1
部,韩,0.9982763,1
部,次,0.99884707,1
部,应,0.9994131,1
部,藏,0.99900955,1
部,钱,0.9990961,1
部,穿,0.9993176,1
部,死,0.9983187,1
部,卫,0.9994321,1
部,果,0.99898815,1
不,部,0.99920845,0
不,不,0.99920845,1
部,不,0.99920845,0
各,段,0.9978081,1
各,各,0.99936795,1
各,鱼,0.99803525,1
各,停,0.99815863,1
各,冻,0.99748176,1
各,满,0.99759567,1
各,跳,0.99788886,1
各,器,0.9956698,1
各,赵,0.99251914,1
各,宿,0.9974491,1
各,管,0.9981482,1
各,雄,0.99588495,1
各,伴,0.99848074,1
各,湖,0.99706703,1
各,量,0.99718726,1
各,院,0.9951471,1
各,欣,0.99657637,1
各,确,0.9977784,1
各,指,0.9981651,1
各,伟,0.99680245,1
各,群,0.9963246,1
各,物,0.9989958,1
各,猪,0.9977313,1
各,故,0.99789023,1
各,谱,0.9988522,1
各,倒,0.9980777,1
各,立,0.9987727,1
各,从,0.99748874,1
各,怕,0.99789625,1
各,浪,0.99586505,1
各,兴,0.99658656,1
各,蛋,0.9969674,1
各,摇,0.995826,1
各,围,0.9984577,1
各,证,0.9968302,1
各,务,0.9982319,1
各,伦,0.99815273,1
各,久,0.9978287,1
各,舞,0.9985077,1
各,进,0.9974639,1
各,嘿,0.99618757,1
各,代,0.9954799,1
各,算,0.99498564,1
各,惜,0.9803635,1
各,万,0.99723977,1
各,思,0.99764335,1
各,豆,0.9971153,1
各,断,0.9981396,1
各,落,0.99621195,1
各,并,0.99893594,1
各,炎,0.99794656,1
各,山,0.9977509,1
各,父,0.9984967,1
各,况,0.9970498,1
各,送,0.9955596,1
各,军,0.9975116,1
各,够,0.9967777,1
各,咖,0.9972068,1
各,附,0.99732816,1
各,试,0.9965299,1
各,雷,0.99527824,1
各,答,0.99766505,1
个,各,0.99936795,0
个,个,0.99936795,1
各,个,0.99936795,0
事,自,0.9997521,1
事,事,0.9997579,1
事,和,0.99982995,1
事,后,0.9998171,1
是,事,0.9997579,0
视,发,0.9997097,1
视,生,0.9996805,1
视,视,0.99977356,1
是,视,0.99977356,0
室,欢,0.99968684,1
室,热,0.9996901,1
室,室,0.9994308,1
室,分,0.99970186,1
室,名,0.9996533,1
是,室,0.9994308,0
氏,氏,0.9993868,1
氏,演,0.9994611,1
氏,经,0.99974483,1
氏,王,0.99950105,1
氏,风,0.99946725,1
氏,告,0.99952596,1
氏,长,0.99962085,1
氏,呀,0.99941903,1
氏,意,0.9997885,1
氏,节,0.9996713,1
是,氏,0.9993868,0
市,色,0.9991335,1
市,种,0.9996166,1
