compare,basehomo,similarity,baseline
衣,息,0.9989841,1
衣,昨,0.99888927,1
衣,档,0.99883354,1
衣,于,0.9993527,1
衣,青,0.9991376,1
衣,清,0.9986914,1
衣,空,0.9992564,1
衣,奏,0.9993779,1
衣,路,0.9991162,1
衣,眼,0.99937254,1
衣,前,0.9992527,1
衣,相,0.9991812,1
衣,西,0.9992807,1
衣,女,0.9991369,1
衣,难,0.9991616,1
衣,苏,0.9982303,1
衣,许,0.9988749,1
衣,飞,0.9984785,1
衣,嘛,0.9984741,1
衣,衣,0.99939203,1
衣,位,0.9993787,1
衣,姐,0.9989364,1
衣,越,0.9993841,1
一,衣,0.99939203,0
一,一,0.99939203,1
衣,一,0.99939203,0
哥,客,0.9961985,1
哥,普,0.9982233,1
哥,健,0.99630946,1
哥,识,0.99763554,1
哥,活,0.9989349,1
哥,片,0.99843264,1
哥,黄,0.99060416,1
哥,每,0.9960749,1
哥,爸,0.99598813,1
哥,琴,0.99917567,1
哥,离,0.99905443,1
哥,句,0.998086,1
哥,百,0.9975794,1
哥,城,0.99863505,1
哥,底,0.9984009,1
哥,便,0.9962691,1
哥,结,0.99835116,1
哥,哥,0.9983394,1
哥,福,0.9977959,1
哥,被,0.9987366,1
哥,站,0.99894166,1
哥,表,0.9971564,1
哥,原,0.9971084,1
哥,址,0.9988751,1
哥,络,0.99886143,1
哥,沙,0.9983495,1
哥,课,0.9952724,1
哥,交,0.99901104,1
歌,哥,0.9983394,0
歌,歌,0.9983394,1
哥,歌,0.9983394,0
部,华,0.9990339,1
部,边,0.9990627,1
部,遇,0.999032,1
部,然,0.99919844,1
部,部,0.99916476,1
部,单,0.9994509,1
部,且,0.99920505,1
部,期,0.99943495,1
部,成,0.99904466,1
部,韩,0.99840575,1
部,次,0.9990014,1
部,应,0.9995112,1
部,藏,0.99907506,1
部,钱,0.999021,1
部,穿,0.99932706,1
部,死,0.99792,1
部,卫,0.9992921,1
部,果,0.9986906,1
不,部,0.99916476,0
不,不,0.99916476,1
部,不,0.99916476,0
各,段,0.9966015,1
各,各,0.9993658,1
各,鱼,0.9975802,1
各,停,0.9977211,1
各,冻,0.99805677,1
各,满,0.9972075,1
各,跳,0.9982006,1
各,器,0.99312925,1
各,赵,0.9930937,1
各,宿,0.9965826,1
各,管,0.99747276,1
各,雄,0.995051,1
各,伴,0.9983609,1
各,湖,0.9968271,1
各,量,0.99799734,1
各,院,0.9948974,1
各,欣,0.99687195,1
各,确,0.9982536,1
各,指,0.9986654,1
各,伟,0.99508494,1
各,群,0.9972476,1
各,物,0.99887615,1
各,猪,0.9978987,1
各,故,0.99693316,1
各,谱,0.9987471,1
各,倒,0.9974286,1
各,立,0.9987299,1
各,从,0.9972503,1
各,怕,0.99756646,1
各,浪,0.99631155,1
各,兴,0.9972652,1
各,蛋,0.9961159,1
各,摇,0.9960816,1
各,围,0.99853593,1
各,证,0.9973524,1
各,务,0.9983065,1
各,伦,0.99772197,1
各,久,0.997687,1
各,舞,0.997876,1
各,进,0.9969131,1
各,嘿,0.9959586,1
各,代,0.9947809,1
各,算,0.99509025,1
各,惜,0.9915763,1
各,万,0.99718606,1
各,思,0.996881,1
各,豆,0.9976882,1
各,断,0.99831,1
各,落,0.9969083,1
各,并,0.99905324,1
各,炎,0.99798036,1
各,山,0.9969876,1
各,父,0.99789095,1
各,况,0.9965716,1
各,送,0.99571854,1
各,军,0.99712765,1
各,够,0.9970795,1
各,咖,0.9966796,1
各,附,0.99672174,1
各,试,0.9969707,1
各,雷,0.99734044,1
各,答,0.9969939,1
个,各,0.9993658,0
个,个,0.9993658,1
各,个,0.9993658,0
事,自,0.99972457,1
事,事,0.9997314,1
事,和,0.99979526,1
事,后,0.9997928,1
是,事,0.9997314,0
视,发,0.99967575,1
视,生,0.99968165,1
视,视,0.9997033,1
是,视,0.9997033,0
室,欢,0.9996426,1
室,热,0.99967235,1
室,室,0.9994668,1
室,分,0.99964577,1
室,名,0.9996519,1
是,室,0.9994668,0
氏,氏,0.99939,1
氏,演,0.9992794,1
氏,经,0.99971646,1
氏,王,0.9995181,1
氏,风,0.9994758,1
氏,告,0.9995005,1
氏,长,0.9996138,1
氏,呀,0.99948907,1
氏,意,0.9997564,1
氏,节,0.9996673,1
是,氏,0.99939,0
市,色,0.999115,1
市,种,0.99963677,1
市,习,0.9994985,1
